id,activityType,automationId,automationName,automationPriority,botLabel,callbackInfo,canManage,command,createdBy,createdOn,currentBotName,currentLine,deploymentId,description,deviceHostType,deviceId,deviceName,endDateTime,error_code,error_details,error_message,fileId,fileName,filePath,initiationType,message,modifiedBy,modifiedOn,progress,queueId,queueName,rolesWithAccess,runElevated,startDateTime,status,systemBot,tenantUuid,totalLines,type,userGroupName,userId,userName,usingRdp,workspaceType
5fd2aa05-966d-42a9-a548-4597693da8b7,BOT,34706,AGEL013_Merit_Order_Summary_ALLIndia_Digital,PRIORITY_MEDIUM,,,True,if,1135,2026-09-03T18:00:01.398646Z,AGEL013_Merit_Order_Summary_ALLIndia_Digital,74,ab67a7f8-f6cb-4251-9b40-9678c05e87a6,,,857,gcp10wbtrpap03,2026-09-03T18:00:17.1884294Z,,,,429475,AGEL013_Merit_Order_Summary_ALLIndia_Digital,,SCHEDULED,,1135,2026-09-03T18:00:17.290243Z,100,,,"['100005124', '386', '354', '357', '389', '359', '100011533', '382']",False,2026-09-03T18:00:15.352984Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,74,SCHEDULED,,1112,bruser_agel003,False,PUBLIC
0e11fd27-7143-4b32-98c9-814cc8559399,BOT,35056,AGEL055_Monitory_Analyze,PRIORITY_MEDIUM,,,True,runApp,1133,2026-09-03T17:40:00.603614Z,AGEL055_Monitory_Analyze,211,105ccbe9-989f-4543-adad-ec11132e9072,,,852,gcp10wbtrpap05,2026-09-03T17:43:56.7711706Z,,,,516153,AGEL055_Monitory_Analyze,,SCHEDULED,,1133,2026-09-03T17:43:56.900445Z,100,,,"['100005124', '386', '354', '389', '357', '359', '392', '393', '100011533', '382']",False,2026-09-03T17:40:14.4338503Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,211,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
a2c5438c-fc53-4beb-a39d-735964d64662,BOT,35442,ANIL012_PXIL_RTM_Data_Extraction,PRIORITY_MEDIUM,,,True,SendMailV2,1135,2026-09-03T17:30:02.371551Z,ANIL012_PXIL_RTM_Data_Extraction,47,e41d764e-da68-4813-8459-3e0151936105,,,852,gcp10wbtrpap05,2026-09-03T17:31:03.5063682Z,,,,606875,ANIL012_PXIL_RTM_Data_Extraction,,SCHEDULED,,1135,2026-09-03T17:31:03.650597Z,100,,,"['100005124', '386', '354', '356', '389', '357', '359', '100011533', '382']",False,2026-09-03T17:30:15.9341694Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,47,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
794c3b04-d605-4a8b-9d99-dfc7f1a6793d,BOT,100014221,AGEL151_DMS live tracker,PRIORITY_MEDIUM,,,True,messageBox,1134,2026-09-03T17:30:02.123201Z,AGEL151_DMS live tracker,20,eae5bdd0-67de-4753-a837-2ae538c67e63,,,1061,gcp10wbtrpap01,2026-09-03T17:30:44.7640873Z,,,,101801684,AGEL151_DMS live tracker,,SCHEDULED,,1134,2026-09-03T17:30:44.890381Z,100,,,"['100005124', '354', '386', '357', '389', '359', '392', '393', '100011533', '382']",False,2026-09-03T17:30:15.4589038Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,20,SCHEDULED,,1111,bruser_agel002,False,PUBLIC
db411992-b041-43a8-a544-0aceea2430b3,BOT,35382,AGEL059_ERCG_Fatehgarh_Email_Notification.25.08.25.22.30.15.devuser_agel002,PRIORITY_MEDIUM,,,True,if,1133,2026-09-03T17:00:01.992416Z,AGEL059_ERCG_Fatehgarh_Email_Notification,50,bee877f4-8fd3-4d70-82c1-3f502241deb1,,,857,gcp10wbtrpap03,2026-09-03T17:03:38.3616373Z,,,,558520,AGEL059_ERCG_Fatehgarh_Email_Notification,,SCHEDULED,,1133,2026-09-03T17:03:38.529799Z,100,,,"['100005124', '354', '386', '357', '389', '359', '392', '393', '100011533', '382']",False,2026-09-03T17:00:27.0804322Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,50,SCHEDULED,,1112,bruser_agel003,False,PUBLIC
0b32fc04-b2ce-4796-bf2f-66d51911bbd3,BOT,34705,AGEL013_Merit_Order_Summary_ALLIndia_Digital,PRIORITY_MEDIUM,,,True,if,1135,2026-09-03T17:00:01.233095Z,AGEL013_Merit_Order_Summary_ALLIndia_Digital,74,a09d6812-6187-4f13-b34e-a0a348301a1e,,,857,gcp10wbtrpap03,2026-09-03T17:00:15.9007742Z,,,,429475,AGEL013_Merit_Order_Summary_ALLIndia_Digital,,SCHEDULED,,1135,2026-09-03T17:00:16.0207Z,100,,,"['100005124', '386', '354', '357', '389', '359', '100011533', '382']",False,2026-09-03T17:00:14.1478644Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,74,SCHEDULED,,1112,bruser_agel003,False,PUBLIC
12a03365-5b18-4e21-9e31-fed9523b26f9,BOT,100012348,ANIL028_zsa003N_G_Dump,PRIORITY_MEDIUM,,,True,messageBox,1135,2026-09-03T16:30:02.757111Z,ANIL028_zsa003N_G_Dump,60,51d76945-db2a-4e6b-9431-8072c33c571a,,,852,gcp10wbtrpap05,2026-09-03T16:34:47.0110948Z,,,,101763950,ANIL028_zsa003N_G_Dump,,SCHEDULED,,1135,2026-09-03T16:34:47.124835Z,100,,,"['100005124', '354', '386', '356', '357', '389', '359', '100011533', '382']",False,2026-09-03T16:33:53.6429359Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,60,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
b05a20bc-c567-48f1-a693-3ee3fdb917e4,BOT,34703,AUC172_DowntimeSecurityPatch&VAOpen_MasterBot,PRIORITY_MEDIUM,,,True,loop.commands.start,1135,2026-09-03T16:30:02.493944Z,AUC172_DowntimeSecurityPatch&VAOpen_MasterBot,50,f6e638f1-897f-42ea-b932-d95785d57a37,,,852,gcp10wbtrpap05,2026-09-03T16:33:40.9500834Z,,,,423407,AUC172_DowntimeSecurityPatch&VAOpen_MasterBot,,SCHEDULED,,1135,2026-09-03T16:33:41.043995Z,100,,,"['100005124', '354', '386', '389', '357', '359', '100011533', '382']",False,2026-09-03T16:33:33.7469413Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,50,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
c4d48435-e303-4b67-ba72-50a7d967235a,BOT,100012806,ANIL029_ZVMS_Report,PRIORITY_MEDIUM,,,True,messageBox,1135,2026-09-03T16:30:01.929697Z,ANIL029_ZVMS_Report,103,07122787-611f-49d3-af07-d2d6556477f9,,,852,gcp10wbtrpap05,2026-09-03T16:33:15.4647553Z,,,,101830732,ANIL029_ZVMS_Report,,SCHEDULED,,1135,2026-09-03T16:33:15.627242Z,100,,,"['100005124', '354', '386', '356', '357', '389', '359', '100011533', '382']",False,2026-09-03T16:31:16.6049272Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,103,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
f861dd18-304a-453d-bf09-3a0682daa7c1,BOT,35442,ANIL012_PXIL_RTM_Data_Extraction,PRIORITY_MEDIUM,,,True,SendMailV2,1135,2026-09-03T16:30:02.248433Z,ANIL012_PXIL_RTM_Data_Extraction,47,87271659-48ba-4fc4-bcf9-34d695fc582a,,,852,gcp10wbtrpap05,2026-09-03T16:31:03.850138Z,,,,606875,ANIL012_PXIL_RTM_Data_Extraction,,SCHEDULED,,1135,2026-09-03T16:31:03.963024Z,100,,,"['100005124', '386', '354', '356', '389', '357', '359', '100011533', '382']",False,2026-09-03T16:30:16.6035211Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,47,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
