id,activityType,automationId,automationName,automationPriority,botLabel,callbackInfo,canManage,command,createdBy,createdOn,currentBotName,currentLine,deploymentId,description,deviceHostType,deviceId,deviceName,endDateTime,error_code,error_details,error_message,fileId,fileName,filePath,initiationType,message,modifiedBy,modifiedOn,progress,queueId,queueName,rolesWithAccess,runElevated,startDateTime,status,systemBot,tenantUuid,totalLines,type,userGroupName,userId,userName,usingRdp,workspaceType
822b9eec-c8d5-49d3-a2cd-2b12f9df62ad_d6907c5c0989a105,BOT,34706,AGEL013_Merit_Order_Summary_ALLIndia_Digital,PRIORITY_MEDIUM,,,True,if,1135,2026-08-03T18:00:01.891893Z,AGEL013_Merit_Order_Summary_ALLIndia_Digital,74,6e4a8253-45f4-41a3-8483-0d024612c3eb,,,857,gcp10wbtrpap03,2026-08-03T18:00:17.5138617Z,,,,429475,AGEL013_Merit_Order_Summary_ALLIndia_Digital,,SCHEDULED,,1135,2026-08-03T18:00:17.620206Z,100,,,"['100005124', '386', '354', '357', '389', '359', '100011533', '382']",False,2026-08-03T18:00:15.6286173Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,74,SCHEDULED,,1112,bruser_agel003,False,PUBLIC
00018177-04e2-4dbc-8488-6ef4cc9b3687_bc443be0357c5d98,BOT,35056,AGEL055_Monitory_Analyze,PRIORITY_MEDIUM,,,True,runApp,1133,2026-08-03T17:40:01.347198Z,AGEL055_Monitory_Analyze,211,0a3136a8-df53-4c9b-b28b-23e5b822ffd8,,,852,gcp10wbtrpap05,2026-08-03T17:44:06.1961041Z,,,,516153,AGEL055_Monitory_Analyze,,SCHEDULED,,1133,2026-08-03T17:44:06.310233Z,100,,,"['100005124', '386', '354', '389', '357', '359', '392', '393', '100011533', '382']",False,2026-08-03T17:40:15.6629866Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,211,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
04a9ee85-9ba1-4a5a-8d6d-bb2c23aee956_26e6da80f578489c,BOT,35442,ANIL012_PXIL_RTM_Data_Extraction,PRIORITY_MEDIUM,,,True,SendMailV2,1135,2026-08-03T17:30:02.249483Z,ANIL012_PXIL_RTM_Data_Extraction,47,ed3b6157-af2c-4f01-9954-a894c29ecd7c,,,852,gcp10wbtrpap05,2026-08-03T17:31:04.9469864Z,,,,606875,ANIL012_PXIL_RTM_Data_Extraction,,SCHEDULED,,1135,2026-08-03T17:31:05.123911Z,100,,,"['100005124', '386', '354', '356', '389', '357', '359', '100011533', '382']",False,2026-08-03T17:30:16.9059753Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,47,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
a7674827-7653-4e32-850f-f3a81142b2d2_1c2e7a43f16bc956,BOT,34705,AGEL013_Merit_Order_Summary_ALLIndia_Digital,PRIORITY_MEDIUM,,,True,if,1135,2026-08-03T17:00:03.215979Z,AGEL013_Merit_Order_Summary_ALLIndia_Digital,74,5ebaddad-0ae5-4fb9-81d9-e118f0ac0906,,,857,gcp10wbtrpap03,2026-08-03T17:03:45.611875Z,,,,429475,AGEL013_Merit_Order_Summary_ALLIndia_Digital,,SCHEDULED,,1135,2026-08-03T17:03:45.710255Z,100,,,"['100005124', '386', '354', '357', '389', '359', '100011533', '382']",False,2026-08-03T17:03:44.0044709Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,74,SCHEDULED,,1112,bruser_agel003,False,PUBLIC
82dd1d3f-4bae-41de-93fe-d438e524dcec_216a18bb767b0073,BOT,35382,AGEL059_ERCG_Fatehgarh_Email_Notification.25.08.25.22.30.15.devuser_agel002,PRIORITY_MEDIUM,,,True,if,1133,2026-08-03T17:00:02.104428Z,AGEL059_ERCG_Fatehgarh_Email_Notification,50,f090a086-2fc9-4a94-88ec-8bfcd3bad494,,,857,gcp10wbtrpap03,2026-08-03T17:03:28.1226634Z,,,,558520,AGEL059_ERCG_Fatehgarh_Email_Notification,,SCHEDULED,,1133,2026-08-03T17:03:28.548188Z,100,,,"['100005124', '354', '386', '357', '389', '359', '392', '393', '100011533', '382']",False,2026-08-03T17:00:12.502301Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,50,SCHEDULED,,1112,bruser_agel003,False,PUBLIC
be633a2f-05d2-41e4-a0a8-eff84ebc5504_8c6357a34fa69380,BOT,100012348,ANIL028_zsa003N_G_Dump,PRIORITY_MEDIUM,,,True,messageBox,1135,2026-08-03T16:45:02.607293Z,ANIL028_zsa003N_G_Dump,60,d52a2631-5d62-4ad0-b3ba-956df9ac4533,,,852,gcp10wbtrpap05,2026-08-03T16:48:16.9521581Z,,,,101763950,ANIL028_zsa003N_G_Dump,,SCHEDULED,,1135,2026-08-03T16:48:17.086556Z,100,,,"['100005124', '354', '386', '356', '357', '389', '359', '100011533', '382']",False,2026-08-03T16:47:23.1533264Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,60,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
3e3ac533-6737-4e09-86da-a6aaa32b525c_d545bfa650a8d69d,BOT,100012806,ANIL029_ZVMS_Report,PRIORITY_MEDIUM,,,True,messageBox,1135,2026-08-03T16:45:02.36072Z,ANIL029_ZVMS_Report,103,27a88bbb-8020-4ced-975f-5f254a3a7778,,,852,gcp10wbtrpap05,2026-08-03T16:47:04.054712Z,,,,101830732,ANIL029_ZVMS_Report,,SCHEDULED,,1135,2026-08-03T16:47:04.203491Z,100,,,"['100005124', '354', '386', '356', '357', '389', '359', '100011533', '382']",False,2026-08-03T16:45:16.5498995Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,103,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
9418f777-811c-4b80-9113-f4c74745a9cb_dfb6bff778a80c96,BOT,34703,AUC172_DowntimeSecurityPatch&VAOpen_MasterBot,PRIORITY_MEDIUM,,,True,loop.commands.start,1135,2026-08-03T16:30:03.981563Z,AUC172_DowntimeSecurityPatch&VAOpen_MasterBot,50,81776c6a-f4b9-4d6d-b955-a68d3fbe3e5a,,,852,gcp10wbtrpap05,2026-08-03T16:31:32.2684832Z,,,,423407,AUC172_DowntimeSecurityPatch&VAOpen_MasterBot,,SCHEDULED,,1135,2026-08-03T16:31:32.395876Z,100,,,"['100005124', '354', '386', '389', '357', '359', '100011533', '382']",False,2026-08-03T16:31:24.6254355Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,50,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
ee677744-dd35-4ee0-bb5d-4d3089bce388_a4adc829eda3560f,BOT,35442,ANIL012_PXIL_RTM_Data_Extraction,PRIORITY_MEDIUM,,,True,SendMailV2,1135,2026-08-03T16:30:01.777509Z,ANIL012_PXIL_RTM_Data_Extraction,47,38fee37c-10e8-4426-9c5f-8457bba675ff,,,852,gcp10wbtrpap05,2026-08-03T16:31:08.782747Z,,,,606875,ANIL012_PXIL_RTM_Data_Extraction,,SCHEDULED,,1135,2026-08-03T16:31:08.925609Z,100,,,"['100005124', '386', '354', '356', '389', '357', '359', '100011533', '382']",False,2026-08-03T16:30:19.3344437Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,47,SCHEDULED,,1114,bruser_agel005,False,PUBLIC
4b49eeea-1e90-4b69-9dcf-d9be4b531c4a_83ada0754a80303f,BOT,35451,AGEL075_Hybrid_AVC_Punch_MainTask.25.10.15.05.22.05.devuser_agel005,PRIORITY_MEDIUM,,,True,runApp,1136,2026-08-03T15:54:00.875968Z,AGEL075_Hybrid_AVC_Punch_MainTask,89,14e8a726-da9f-4210-a4e2-4d00d5da2432,,,1059,gcp10wbtrpap04,2026-08-03T15:59:29.1085756Z,,,,535089,AGEL075_Hybrid_AVC_Punch_MainTask,,SCHEDULED,,1136,2026-08-03T15:59:29.23663Z,100,,,"['100005124', '386', '354', '357', '389', '359', '392', '393', '100011533', '382']",False,2026-08-03T15:54:14.1219546Z,COMPLETED,False,0a6639c7-902a-1167-8193-5327d0ae03b3,89,SCHEDULED,,1113,bruser_agel004,False,PUBLIC
